Timestep: 0
4.367759207338588e-25 1.2056320135193622e-23 1.8729080572088465e-23
2.473778888096157e-24 5.9992930435684685e-24 4.7616221793949175e-24
6.797887583986484e-24 1.453210330984129e-23 2.509466913415277e-23
1.488163122423191e-23 1.7554383702916353e-23 7.230315986964839e-24
6.449801797621025e-24 1.4060269191545284e-23 1.787446325806557e-23
3.114608387895919e-23 1.3962009657995126e-23 1.8513317933551025e-23
3.221596982972637e-23 1.8752638750910624e-23 3.000029214004791e-24
1.6174821554570132e-23 7.022568471182249e-24 1.757328459106576e-23
2.5963342374866973e-23 2.906846022239104e-23 2.3320388630641337e-23
4.6535226499616586e-24 1.5093395133007923e-23 9.274528626342274e-24
1.0818669571206962e-23 1.700035441562246e-23 1.5515228202796317e-23
7.553147442296985e-24 4.093347661260435e-24 2.7003514657416666e-23
2.6177317447347764e-23 2.3144612668915476e-23 2.7373855244439795e-23
1.2928955358575326e-23 1.6298589785415077e-23 2.3623261045006362e-23
2.5023168642391015e-23 2.2660517319236584e-23 1.062259316260458e-23
1.6749373388404866e-23 1.8572133654298926e-23 1.0019040067875216e-23
1.903621127767575e-23 1.9196518624799645e-23 2.774869685977324e-23
Timestep: 4
3.01117153226609e-23 1.792918357117496e-23 4.6148763676399576e-24
1.495054217926543e-24 3.83032196444047e-24 2.456562941668941e-23
1.1688588793525588e-23 4.171234527764893e-24 3.4741601034113375e-24
4.367759207338588e-25 1.2056320135193622e-23 1.8729080572088465e-23
2.473778888096157e-24 5.9992930435684685e-24 4.7616221793949175e-24
6.797887583986484e-24 1.453210330984129e-23 2.509466913415277e-23
1.488163122423191e-23 1.7554383702916353e-23 7.230315986964839e-24
6.449801797621025e-24 1.4060269191545284e-23 1.787446325806557e-23
3.114608387895919e-23 1.3962009657995126e-23 1.8513317933551025e-23
3.221596982972637e-23 1.8752638750910624e-23 3.000029214004791e-24
1.6174821554570132e-23 7.022568471182249e-24 1.757328459106576e-23
2.5963342374866973e-23 2.906846022239104e-23 2.3320388630641337e-23
4.6535226499616586e-24 1.5093395133007923e-23 9.274528626342274e-24
1.0818669571206962e-23 1.700035441562246e-23 1.5515228202796317e-23
7.553147442296985e-24 4.093347661260435e-24 2.7003514657416666e-23
2.6177317447347764e-23 2.3144612668915476e-23 2.7373855244439795e-23
1.2928955358575326e-23 1.6298589785415077e-23 2.3623261045006362e-23
2.5023168642391015e-23 2.2660517319236584e-23 1.062259316260458e-23
1.6749373388404866e-23 1.8572133654298926e-23 1.0019040067875216e-23
1.903621127767575e-23 1.9196518624799645e-23 2.774869685977324e-23
Timestep: 5
3.01117153226609e-23 1.792918357117496e-23 4.6148763676399576e-24
1.495054217926543e-24 3.83032196444047e-24 2.456562941668941e-23
1.1688588793525588e-23 4.171234527764893e-24 3.4741601034113375e-24
4.367759207338588e-25 1.2056320135193622e-23 1.8729080572088465e-23
2.473778888096157e-24 5.9992930435684685e-24 4.7616221793949175e-24
6.797887583986484e-24 1.453210330984129e-23 2.509466913415277e-23
1.488163122423191e-23 1.7554383702916353e-23 7.230315986964839e-24
6.449801797621025e-24 1.4060269191545284e-23 1.787446325806557e-23
3.114608387895919e-23 1.3962009657995126e-23 1.8513317933551025e-23
3.221596982972637e-23 1.8752638750910624e-23 3.000029214004791e-24
1.6174821554570132e-23 7.022568471182249e-24 1.757328459106576e-23
2.5963342374866973e-23 2.906846022239104e-23 2.3320388630641337e-23
4.6535226499616586e-24 1.5093395133007923e-23 9.274528626342274e-24
1.0818669571206962e-23 1.700035441562246e-23 1.5515228202796317e-23
7.553147442296985e-24 4.093347661260435e-24 2.7003514657416666e-23
2.6177317447347764e-23 2.3144612668915476e-23 2.7373855244439795e-23
1.2928955358575326e-23 1.6298589785415077e-23 2.3623261045006362e-23
2.5023168642391015e-23 2.2660517319236584e-23 1.062259316260458e-23
1.6749373388404866e-23 1.8572133654298926e-23 1.0019040067875216e-23
1.903621127767575e-23 1.9196518624799645e-23 2.774869685977324e-23
Timestep: 6
3.01117153226609e-23 1.792918357117496e-23 4.6148763676399576e-24
1.495054217926543e-24 3.83032196444047e-24 2.456562941668941e-23
1.1688588793525588e-23 4.171234527764893e-24 3.4741601034113375e-24
4.367759207338588e-25 1.2056320135193622e-23 1.8729080572088465e-23
2.473778888096157e-24 5.9992930435684685e-24 4.7616221793949175e-24
6.797887583986484e-24 1.453210330984129e-23 2.509466913415277e-23
1.488163122423191e-23 1.7554383702916353e-23 7.230315986964839e-24
6.449801797621025e-24 1.4060269191545284e-23 1.787446325806557e-23
3.114608387895919e-23 1.3962009657995126e-23 1.8513317933551025e-23
3.221596982972637e-23 1.8752638750910624e-23 3.000029214004791e-24
1.6174821554570132e-23 7.022568471182249e-24 1.757328459106576e-23
2.5963342374866973e-23 2.906846022239104e-23 2.3320388630641337e-23
4.6535226499616586e-24 1.5093395133007923e-23 9.274528626342274e-24
1.0818669571206962e-23 1.700035441562246e-23 1.5515228202796317e-23
7.553147442296985e-24 4.093347661260435e-24 2.7003514657416666e-23
2.6177317447347764e-23 2.3144612668915476e-23 2.7373855244439795e-23
1.2928955358575326e-23 1.6298589785415077e-23 2.3623261045006362e-23
2.5023168642391015e-23 2.2660517319236584e-23 1.062259316260458e-23
1.6749373388404866e-23 1.8572133654298926e-23 1.0019040067875216e-23
1.903621127767575e-23 1.9196518624799645e-23 2.774869685977324e-23
Timestep: 7
3.01117153226609e-23 1.792918357117496e-23 4.6148763676399576e-24
1.495054217926543e-24 3.83032196444047e-24 2.456562941668941e-23
1.1688588793525588e-23 4.171234527764893e-24 3.4741601034113375e-24
4.367759207338588e-25 1.2056320135193622e-23 1.8729080572088465e-23
2.473778888096157e-24 5.9992930435684685e-24 4.7616221793949175e-24
6.797887583986484e-24 1.453210330984129e-23 2.509466913415277e-23
1.488163122423191e-23 1.7554383702916353e-23 7.230315986964839e-24
6.449801797621025e-24 1.4060269191545284e-23 1.787446325806557e-23
3.114608387895919e-23 1.3962009657995126e-23 1.8513317933551025e-23
3.221596982972637e-23 1.8752638750910624e-23 3.000029214004791e-24
1.6174821554570132e-23 7.022568471182249e-24 1.757328459106576e-23
2.5963342374866973e-23 2.906846022239104e-23 2.3320388630641337e-23
4.6535226499616586e-24 1.5093395133007923e-23 9.274528626342274e-24
1.0818669571206962e-23 1.700035441562246e-23 1.5515228202796317e-23
7.553147442296985e-24 4.093347661260435e-24 2.7003514657416666e-23
2.6177317447347764e-23 2.3144612668915476e-23 2.7373855244439795e-23
1.2928955358575326e-23 1.6298589785415077e-23 2.3623261045006362e-23
2.5023168642391015e-23 2.2660517319236584e-23 1.062259316260458e-23
1.6749373388404866e-23 1.8572133654298926e-23 1.0019040067875216e-23
1.903621127767575e-23 1.9196518624799645e-23 2.774869685977324e-23
Timestep: 8
3.01117153226609e-23 1.792918357117496e-23 4.6148763676399576e-24
1.495054217926543e-24 3.83032196444047e-24 2.456562941668941e-23
1.1688588793525588e-23 4.171234527764893e-24 3.4741601034113375e-24
4.367759207338588e-25 1.2056320135193622e-23 1.8729080572088465e-23
2.473778888096157e-24 5.9992930435684685e-24 4.7616221793949175e-24
6.797887583986484e-24 1.453210330984129e-23 2.509466913415277e-23
1.488163122423191e-23 1.7554383702916353e-23 7.230315986964839e-24
6.449801797621025e-24 1.4060269191545284e-23 1.787446325806557e-23
3.114608387895919e-23 1.3962009657995126e-23 1.8513317933551025e-23
3.221596982972637e-23 1.8752638750910624e-23 3.000029214004791e-24
1.6174821554570132e-23 7.022568471182249e-24 1.757328459106576e-23
2.5963342374866973e-23 2.906846022239104e-23 2.3320388630641337e-23
4.6535226499616586e-24 1.5093395133007923e-23 9.274528626342274e-24
1.0818669571206962e-23 1.700035441562246e-23 1.5515228202796317e-23
7.553147442296985e-24 4.093347661260435e-24 2.7003514657416666e-23
2.6177317447347764e-23 2.3144612668915476e-23 2.7373855244439795e-23
1.2928955358575326e-23 1.6298589785415077e-23 2.3623261045006362e-23
2.5023168642391015e-23 2.2660517319236584e-23 1.062259316260458e-23
1.6749373388404866e-23 1.8572133654298926e-23 1.0019040067875216e-23
1.903621127767575e-23 1.9196518624799645e-23 2.774869685977324e-23
Timestep: 9
3.01117153226609e-23 1.792918357117496e-23 4.6148763676399576e-24
1.495054217926543e-24 3.83032196444047e-24 2.456562941668941e-23
1.1688588793525588e-23 4.171234527764893e-24 3.4741601034113375e-24
4.367759207338588e-25 1.2056320135193622e-23 1.8729080572088465e-23
2.473778888096157e-24 5.9992930435684685e-24 4.7616221793949175e-24
6.797887583986484e-24 1.453210330984129e-23 2.509466913415277e-23
1.488163122423191e-23 1.7554383702916353e-23 7.230315986964839e-24
6.449801797621025e-24 1.4060269191545284e-23 1.787446325806557e-23
3.114608387895919e-23 1.3962009657995126e-23 1.8513317933551025e-23
3.221596982972637e-23 1.8752638750910624e-23 3.000029214004791e-24
1.6174821554570132e-23 7.022568471182249e-24 1.757328459106576e-23
2.5963342374866973e-23 2.906846022239104e-23 2.3320388630641337e-23
4.6535226499616586e-24 1.5093395133007923e-23 9.274528626342274e-24
1.0818669571206962e-23 1.700035441562246e-23 1.5515228202796317e-23
7.553147442296985e-24 4.093347661260435e-24 2.7003514657416666e-23
2.6177317447347764e-23 2.3144612668915476e-23 2.7373855244439795e-23
1.2928955358575326e-23 1.6298589785415077e-23 2.3623261045006362e-23
2.5023168642391015e-23 2.2660517319236584e-23 1.062259316260458e-23
1.6749373388404866e-23 1.8572133654298926e-23 1.0019040067875216e-23
1.903621127767575e-23 1.9196518624799645e-23 2.774869685977324e-23
